"cnty_fips","display_name","Value","theme_range","airqual","PARKS","sev_housing"
49005,"""Cache, (UT)""",47.8,"28.0 - 75.9 (591)",7.2,52,15.7
49007,"""Carbon, (UT)""",147.5,"131.1 - 349.8 (586)",5.7,25,13
49009,"""Daggett, (UT)""",-1,,4.4,25,6.9
49011,"""Davis, (UT)""",68.1,"28.0 - 75.9 (591)",8.4,67,11.6
49013,"""Duchesne, (UT)""",85.1,"76.0 - 91.3 (584)",6.2,0,12
49015,"""Emery, (UT)""",121.6,"108.7 - 131.0 (582)",5.5,25,8.7
49017,"""Garfield, (UT)""",94.5,"91.4 - 108.6 (588)",4.5,18,13.2
49019,"""Grand, (UT)""",56.8,"28.0 - 75.9 (591)",5.4,50,16.2
49021,"""Iron, (UT)""",66.6,"28.0 - 75.9 (591)",4.8,0,17.4
49023,"""Juab, (UT)""",-1,,5.7,13,16.8
49025,"""Kane, (UT)""",78.9,"76.0 - 91.3 (584)",4.4,36,13.2
49027,"""Millard, (UT)""",41.8,"28.0 - 75.9 (591)",5.6,1,12.4
49029,"""Morgan, (UT)""",90.9,"76.0 - 91.3 (584)",7.1,19,11.4
49031,"""Piute, (UT)""",-1,,4.4,10,10.8
49033,"""Rich, (UT)""",-1,,5.5,3,14.4
49035,"""Salt Lake, (UT)""",63.3,"28.0 - 75.9 (591)",8.4,57,17.1
49037,"""San Juan, (UT)""",47.8,"28.0 - 75.9 (591)",5.3,19,22
49039,"""Sanpete, (UT)""",73.8,"28.0 - 75.9 (591)",5.4,27,11.4
49041,"""Sevier, (UT)""",73.5,"28.0 - 75.9 (591)",5,21,13.9
49043,"""Summit, (UT)""",53.5,"28.0 - 75.9 (591)",6.8,8,14.5
49045,"""Tooele, (UT)""",60.3,"28.0 - 75.9 (591)",6.8,12,10.4
49047,"""Uintah, (UT)""",78.7,"76.0 - 91.3 (584)",6.5,1,15
49049,"""Utah, (UT)""",61.8,"28.0 - 75.9 (591)",7.7,58,16.9
49051,"""Wasatch, (UT)""",78.9,"76.0 - 91.3 (584)",6.2,31,18.3
49053,"""Washington, (UT)""",52,"28.0 - 75.9 (591)",5,42,18.7
49055,"""Wayne, (UT)""",-1,,4.7,9,16.2
49057,"""Weber, (UT)""",76.9,"76.0 - 91.3 (584)",8,69,13.5
56003,"""Big Horn, (WY)""",121.3,"108.7 - 131.0 (582)",5.4,27,10.7
56007,"""Carbon, (WY)""",70.9,"28.0 - 75.9 (591)",3,0,11.1
56013,"""Fremont, (WY)""",95.5,"91.4 - 108.6 (588)",5.4,12,14.3
56017,"""Hot Springs, (WY)""",115.1,"108.7 - 131.0 (582)",4.2,36,12.4
56023,"""Lincoln, (WY)""",67.4,"28.0 - 75.9 (591)",5.7,3,9.9
56025,"""Natrona, (WY)""",93.7,"91.4 - 108.6 (588)",3.9,41,10.1
56029,"""Park, (WY)""",70.7,"28.0 - 75.9 (591)",5.3,52,8.3
56035,"""Sublette, (WY)""",64.3,"28.0 - 75.9 (591)",5.1,0,9.5
56037,"""Sweetwater, (WY)""",100.6,"91.4 - 108.6 (588)",5.1,16,9.7
56039,"""Teton, (WY)""",30.6,"28.0 - 75.9 (591)",4.9,49,18.3
56041,"""Uinta, (WY)""",79.5,"76.0 - 91.3 (584)",5.9,3,12.7
56043,"""Washakie, (WY)""",-1,,4.8,35,10.7
22031,"""De Soto, (LA)""",87.7,"76.0 - 91.3 (584)",9.9,0,15.3
48001,"""Anderson, (TX)""",101.8,"91.4 - 108.6 (588)",9.9,15,15.4
48005,"""Angelina, (TX)""",116.9,"108.7 - 131.0 (582)",9.8,12,16.6
48007,"""Aransas, (TX)""",133.3,"131.1 - 349.8 (586)",9.3,18,15.9
48013,"""Atascosa, (TX)""",113.3,"108.7 - 131.0 (582)",9.6,4,16.6
48015,"""Austin, (TX)""",129,"108.7 - 131.0 (582)",10.2,3,12.3
48019,"""Bandera, (TX)""",69.7,"28.0 - 75.9 (591)",8.9,4,11.9
48021,"""Bastrop, (TX)""",88.6,"76.0 - 91.3 (584)",10.1,11,14.8
48025,"""Bee, (TX)""",98.6,"91.4 - 108.6 (588)",9.4,29,15.2
48027,"""Bell, (TX)""",98.8,"91.4 - 108.6 (588)",10.1,17,14.5
48029,"""Bexar, (TX)""",89.4,"76.0 - 91.3 (584)",10.4,33,18.5
48031,"""Blanco, (TX)""",60.3,"28.0 - 75.9 (591)",8.9,21,12.6
48035,"""Bosque, (TX)""",163.5,"131.1 - 349.8 (586)",9.5,17,12.5
48039,"""Brazoria, (TX)""",98.4,"91.4 - 108.6 (588)",11.4,12,14.6
48041,"""Brazos, (TX)""",72.4,"28.0 - 75.9 (591)",10.1,56,28.9
48043,"""Brewster, (TX)""",55,"28.0 - 75.9 (591)",6.3,55,13.4
48047,"""Brooks, (TX)""",100.6,"91.4 - 108.6 (588)",8.6,14,18.1
48049,"""Brown, (TX)""",94.3,"91.4 - 108.6 (588)",8.3,37,10.2
48051,"""Burleson, (TX)""",163.5,"131.1 - 349.8 (586)",9.8,7,14.3
48053,"""Burnet, (TX)""",63.4,"28.0 - 75.9 (591)",9.1,12,14.3
48055,"""Caldwell, (TX)""",124.5,"108.7 - 131.0 (582)",10.1,17,16.4
48057,"""Calhoun, (TX)""",114.8,"108.7 - 131.0 (582)",9.4,0,16.1
48061,"""Cameron, (TX)""",111.6,"108.7 - 131.0 (582)",9.3,27,24.8
