"cnty_fips","display_name","Value","theme_range","dm_prev_adj","ob_prev_adj","ltpia_prev_adj"
56023,"""Lincoln, (WY)""",67.4,"28.0 - 75.9 (591)",6.8,26.2,22.3
56025,"""Natrona, (WY)""",93.7,"91.4 - 108.6 (588)",7.9,31.8,24.4
56029,"""Park, (WY)""",70.7,"28.0 - 75.9 (591)",7.1,25.1,21.9
56035,"""Sublette, (WY)""",64.3,"28.0 - 75.9 (591)",7.8,29.7,21.4
56037,"""Sweetwater, (WY)""",100.6,"91.4 - 108.6 (588)",8.7,29.5,25
56039,"""Teton, (WY)""",30.6,"28.0 - 75.9 (591)",2.1,12.3,11.5
56041,"""Uinta, (WY)""",79.5,"76.0 - 91.3 (584)",10.5,35.6,26.6
56043,"""Washakie, (WY)""",-1,,9.3,28.7,26.5
22031,"""De Soto, (LA)""",87.7,"76.0 - 91.3 (584)",15.4,38,31.6
48001,"""Anderson, (TX)""",101.8,"91.4 - 108.6 (588)",9.9,36.5,22.8
48005,"""Angelina, (TX)""",116.9,"108.7 - 131.0 (582)",12.7,41,33.5
48007,"""Aransas, (TX)""",133.3,"131.1 - 349.8 (586)",15.4,41.6,33.9
48013,"""Atascosa, (TX)""",113.3,"108.7 - 131.0 (582)",16,36.7,31.3
48015,"""Austin, (TX)""",129,"108.7 - 131.0 (582)",8.6,31.5,27.8
48019,"""Bandera, (TX)""",69.7,"28.0 - 75.9 (591)",5.9,28.6,25.4
48021,"""Bastrop, (TX)""",88.6,"76.0 - 91.3 (584)",10.4,38.2,23.2
48025,"""Bee, (TX)""",98.6,"91.4 - 108.6 (588)",13.6,30.6,21.8
48027,"""Bell, (TX)""",98.8,"91.4 - 108.6 (588)",11.7,34.9,23.3
48029,"""Bexar, (TX)""",89.4,"76.0 - 91.3 (584)",8.5,28.5,23.4
48031,"""Blanco, (TX)""",60.3,"28.0 - 75.9 (591)",9.4,28.3,25.3
48035,"""Bosque, (TX)""",163.5,"131.1 - 349.8 (586)",7.9,32,25.1
48039,"""Brazoria, (TX)""",98.4,"91.4 - 108.6 (588)",10.1,27.8,27.8
48041,"""Brazos, (TX)""",72.4,"28.0 - 75.9 (591)",9.7,29.2,20.8
48043,"""Brewster, (TX)""",55,"28.0 - 75.9 (591)",10.2,25.6,25.4
48047,"""Brooks, (TX)""",100.6,"91.4 - 108.6 (588)",10.6,37.2,24.8
48049,"""Brown, (TX)""",94.3,"91.4 - 108.6 (588)",10.5,39.4,32.3
48051,"""Burleson, (TX)""",163.5,"131.1 - 349.8 (586)",3.6,38.9,23.5
48053,"""Burnet, (TX)""",63.4,"28.0 - 75.9 (591)",15.2,31.5,25.6
48055,"""Caldwell, (TX)""",124.5,"108.7 - 131.0 (582)",9.9,39.2,26.8
48057,"""Calhoun, (TX)""",114.8,"108.7 - 131.0 (582)",12,30.5,21.9
48061,"""Cameron, (TX)""",111.6,"108.7 - 131.0 (582)",10,30.9,24.1
48071,"""Chambers, (TX)""",123.4,"108.7 - 131.0 (582)",7.6,27.5,26
48073,"""Cherokee, (TX)""",113,"108.7 - 131.0 (582)",12.3,43.2,32.8
48081,"""Coke, (TX)""",-1,,7,28.5,27.4
48083,"""Coleman, (TX)""",146.9,"131.1 - 349.8 (586)",14.5,23.9,24.5
48089,"""Colorado, (TX)""",130.8,"108.7 - 131.0 (582)",8.1,26.3,30.9
48091,"""Comal, (TX)""",82.9,"76.0 - 91.3 (584)",4.2,30.2,19.8
48093,"""Comanche, (TX)""",168.8,"131.1 - 349.8 (586)",12.4,25.6,23.5
