"cnty_fips","display_name","Value","theme_range","total_cost"
48229,"""Hudspeth, (TX)""",160.7,"148.7 - 175.5 (644)",19487
48235,"""Irion, (TX)""",221.9,"204.2 - 242.8 (644)",19253
48239,"""Jackson, (TX)""",219.4,"204.2 - 242.8 (644)",24573
48241,"""Jasper, (TX)""",239.2,"204.2 - 242.8 (644)",20667
48243,"""Jeff Davis, (TX)""",139.1,"26.6 - 148.6 (644)",14823
48245,"""Jefferson, (TX)""",224.5,"204.2 - 242.8 (644)",21593
48247,"""Jim Hogg, (TX)""",194.5,"175.6 - 204.1 (644)",27722
48249,"""Jim Wells, (TX)""",362.2,"242.9 - 651.5 (644)",24069
48255,"""Karnes, (TX)""",216.8,"204.2 - 242.8 (644)",23848
48259,"""Kendall, (TX)""",173,"148.7 - 175.5 (644)",17270
48261,"""Kenedy, (TX)""",209.8,"204.2 - 242.8 (644)",-9999
48265,"""Kerr, (TX)""",148.5,"26.6 - 148.6 (644)",19010
48267,"""Kimble, (TX)""",224.8,"204.2 - 242.8 (644)",23647
48271,"""Kinney, (TX)""",157.8,"148.7 - 175.5 (644)",19386
48273,"""Kleberg, (TX)""",299.9,"242.9 - 651.5 (644)",23050
48281,"""Lampasas, (TX)""",159,"148.7 - 175.5 (644)",20765
48283,"""La Salle, (TX)""",216,"204.2 - 242.8 (644)",23185
48285,"""Lavaca, (TX)""",252.7,"242.9 - 651.5 (644)",24948
48287,"""Lee, (TX)""",158.6,"148.7 - 175.5 (644)",21469
48289,"""Leon, (TX)""",141.9,"26.6 - 148.6 (644)",20974
48291,"""Liberty, (TX)""",314.6,"242.9 - 651.5 (644)",26493
48293,"""Limestone, (TX)""",223.2,"204.2 - 242.8 (644)",22837
