"cnty_fips","display_name","Value","theme_range","ou_cost"
49051,"""Wasatch, (UT)""",125.4,"26.6 - 148.6 (644)",4648
49053,"""Washington, (UT)""",101.8,"26.6 - 148.6 (644)",3415
49055,"""Wayne, (UT)""",147.2,"26.6 - 148.6 (644)",4526
49057,"""Weber, (UT)""",149.2,"148.7 - 175.5 (644)",3493
56003,"""Big Horn, (WY)""",209,"204.2 - 242.8 (644)",7109
56007,"""Carbon, (WY)""",149.2,"148.7 - 175.5 (644)",4408
56013,"""Fremont, (WY)""",183.2,"175.6 - 204.1 (644)",2588
56017,"""Hot Springs, (WY)""",180.9,"175.6 - 204.1 (644)",6874
56023,"""Lincoln, (WY)""",140,"26.6 - 148.6 (644)",5236
56025,"""Natrona, (WY)""",178.7,"175.6 - 204.1 (644)",2610
56029,"""Park, (WY)""",137.7,"26.6 - 148.6 (644)",6494
56035,"""Sublette, (WY)""",133.7,"26.6 - 148.6 (644)",3017
56037,"""Sweetwater, (WY)""",187.6,"175.6 - 204.1 (644)",4622
56039,"""Teton, (WY)""",78.3,"26.6 - 148.6 (644)",4050
56041,"""Uinta, (WY)""",153.3,"148.7 - 175.5 (644)",3470
56043,"""Washakie, (WY)""",149.5,"148.7 - 175.5 (644)",8448
22031,"""De Soto, (LA)""",177.5,"175.6 - 204.1 (644)",3759
48001,"""Anderson, (TX)""",202.1,"175.6 - 204.1 (644)",2910
48005,"""Angelina, (TX)""",228.3,"204.2 - 242.8 (644)",2920
48007,"""Aransas, (TX)""",240.8,"204.2 - 242.8 (644)",2293
48013,"""Atascosa, (TX)""",202.5,"175.6 - 204.1 (644)",2091
48015,"""Austin, (TX)""",237.1,"204.2 - 242.8 (644)",3095
48019,"""Bandera, (TX)""",167.7,"148.7 - 175.5 (644)",1799
48021,"""Bastrop, (TX)""",167.8,"148.7 - 175.5 (644)",2268
48025,"""Bee, (TX)""",192.6,"175.6 - 204.1 (644)",3315
48027,"""Bell, (TX)""",192.1,"175.6 - 204.1 (644)",4997
48029,"""Bexar, (TX)""",174.5,"148.7 - 175.5 (644)",1757
48031,"""Blanco, (TX)""",131,"26.6 - 148.6 (644)",2626
48035,"""Bosque, (TX)""",267.7,"242.9 - 651.5 (644)",4295
48039,"""Brazoria, (TX)""",189.5,"175.6 - 204.1 (644)",3356
48041,"""Brazos, (TX)""",142.2,"26.6 - 148.6 (644)",3406
48043,"""Brewster, (TX)""",120.8,"26.6 - 148.6 (644)",3750
48047,"""Brooks, (TX)""",207.9,"204.2 - 242.8 (644)",1733
48049,"""Brown, (TX)""",187.1,"175.6 - 204.1 (644)",4101
48051,"""Burleson, (TX)""",293.5,"242.9 - 651.5 (644)",4266
48053,"""Burnet, (TX)""",127.7,"26.6 - 148.6 (644)",3497
48055,"""Caldwell, (TX)""",226.3,"204.2 - 242.8 (644)",3338
48057,"""Calhoun, (TX)""",218.1,"204.2 - 242.8 (644)",4976
48061,"""Cameron, (TX)""",211.5,"204.2 - 242.8 (644)",2290
48071,"""Chambers, (TX)""",221.3,"204.2 - 242.8 (644)",4509
48073,"""Cherokee, (TX)""",220.7,"204.2 - 242.8 (644)",4591
48081,"""Coke, (TX)""",139.1,"26.6 - 148.6 (644)",4342
48083,"""Coleman, (TX)""",270.4,"242.9 - 651.5 (644)",5045
48089,"""Colorado, (TX)""",249.4,"242.9 - 651.5 (644)",4793
48091,"""Comal, (TX)""",165.9,"148.7 - 175.5 (644)",2438
48093,"""Comanche, (TX)""",303,"242.9 - 651.5 (644)",5278
48095,"""Concho, (TX)""",166.2,"148.7 - 175.5 (644)",4132
48099,"""Coryell, (TX)""",238.6,"204.2 - 242.8 (644)",5791
48103,"""Crane, (TX)""",217.4,"204.2 - 242.8 (644)",4191
48105,"""Crockett, (TX)""",495.7,"242.9 - 651.5 (644)",3090
48109,"""Culberson, (TX)""",211.2,"204.2 - 242.8 (644)",5181
48123,"""DeWitt, (TX)""",205.3,"204.2 - 242.8 (644)",4054
48127,"""Dimmit, (TX)""",156.3,"148.7 - 175.5 (644)",2788
48131,"""Duval, (TX)""",260.7,"242.9 - 651.5 (644)",2231
48135,"""Ector, (TX)""",305.2,"242.9 - 651.5 (644)",2445
48137,"""Edwards, (TX)""",181.2,"175.6 - 204.1 (644)",2730
48141,"""El Paso, (TX)""",157,"148.7 - 175.5 (644)",2098
48145,"""Falls, (TX)""",226.6,"204.2 - 242.8 (644)",4205
48149,"""Fayette, (TX)""",250.4,"242.9 - 651.5 (644)",3312
48157,"""Fort Bend, (TX)""",124.2,"26.6 - 148.6 (644)",2979
48161,"""Freestone, (TX)""",232.7,"204.2 - 242.8 (644)",3466
48163,"""Frio, (TX)""",250.3,"242.9 - 651.5 (644)",2531
48167,"""Galveston, (TX)""",162.4,"148.7 - 175.5 (644)",3872
48171,"""Gillespie, (TX)""",165.7,"148.7 - 175.5 (644)",3130
48173,"""Glasscock, (TX)""",260.8,"242.9 - 651.5 (644)",8660
48175,"""Goliad, (TX)""",193.1,"175.6 - 204.1 (644)",3191
48177,"""Gonzales, (TX)""",212.9,"204.2 - 242.8 (644)",3618
48185,"""Grimes, (TX)""",225.9,"204.2 - 242.8 (644)",3874
48187,"""Guadalupe, (TX)""",198.9,"175.6 - 204.1 (644)",2623
48193,"""Hamilton, (TX)""",163.6,"148.7 - 175.5 (644)",4337
48199,"""Hardin, (TX)""",217.4,"204.2 - 242.8 (644)",2782
48201,"""Harris, (TX)""",171,"148.7 - 175.5 (644)",3078
48209,"""Hays, (TX)""",148.3,"26.6 - 148.6 (644)",2609
48215,"""Hidalgo, (TX)""",206.9,"204.2 - 242.8 (644)",2428
48217,"""Hill, (TX)""",253.7,"242.9 - 651.5 (644)",3512
48225,"""Houston, (TX)""",276.8,"242.9 - 651.5 (644)",2618
48229,"""Hudspeth, (TX)""",160.7,"148.7 - 175.5 (644)",3348
48235,"""Irion, (TX)""",221.9,"204.2 - 242.8 (644)",3541
48239,"""Jackson, (TX)""",219.4,"204.2 - 242.8 (644)",4204
48241,"""Jasper, (TX)""",239.2,"204.2 - 242.8 (644)",2828
48243,"""Jeff Davis, (TX)""",139.1,"26.6 - 148.6 (644)",3259
48245,"""Jefferson, (TX)""",224.5,"204.2 - 242.8 (644)",2863
48247,"""Jim Hogg, (TX)""",194.5,"175.6 - 204.1 (644)",2259
48249,"""Jim Wells, (TX)""",362.2,"242.9 - 651.5 (644)",2286
48255,"""Karnes, (TX)""",216.8,"204.2 - 242.8 (644)",4207
48259,"""Kendall, (TX)""",173,"148.7 - 175.5 (644)",2058
