"cnty_fips","display_name","Value","theme_range","total_inc"
48095,"""Concho, (TX)""",166.2,"148.7 - 175.5 (644)",11002
48099,"""Coryell, (TX)""",238.6,"204.2 - 242.8 (644)",16258
48103,"""Crane, (TX)""",217.4,"204.2 - 242.8 (644)",14753
48105,"""Crockett, (TX)""",495.7,"242.9 - 651.5 (644)",19994
48109,"""Culberson, (TX)""",211.2,"204.2 - 242.8 (644)",30276
48123,"""DeWitt, (TX)""",205.3,"204.2 - 242.8 (644)",14976
48127,"""Dimmit, (TX)""",156.3,"148.7 - 175.5 (644)",15674
48131,"""Duval, (TX)""",260.7,"242.9 - 651.5 (644)",17623
48135,"""Ector, (TX)""",305.2,"242.9 - 651.5 (644)",15359
48137,"""Edwards, (TX)""",181.2,"175.6 - 204.1 (644)",15575
48141,"""El Paso, (TX)""",157,"148.7 - 175.5 (644)",16883
48145,"""Falls, (TX)""",226.6,"204.2 - 242.8 (644)",18177
48149,"""Fayette, (TX)""",250.4,"242.9 - 651.5 (644)",13938
48157,"""Fort Bend, (TX)""",124.2,"26.6 - 148.6 (644)",15994
48161,"""Freestone, (TX)""",232.7,"204.2 - 242.8 (644)",15783
48163,"""Frio, (TX)""",250.3,"242.9 - 651.5 (644)",17547
48167,"""Galveston, (TX)""",162.4,"148.7 - 175.5 (644)",19587
48171,"""Gillespie, (TX)""",165.7,"148.7 - 175.5 (644)",11152
48173,"""Glasscock, (TX)""",260.8,"242.9 - 651.5 (644)",10760
48175,"""Goliad, (TX)""",193.1,"175.6 - 204.1 (644)",17518
48177,"""Gonzales, (TX)""",212.9,"204.2 - 242.8 (644)",14561
48185,"""Grimes, (TX)""",225.9,"204.2 - 242.8 (644)",16588
48187,"""Guadalupe, (TX)""",198.9,"175.6 - 204.1 (644)",14387
48193,"""Hamilton, (TX)""",163.6,"148.7 - 175.5 (644)",11892
48199,"""Hardin, (TX)""",217.4,"204.2 - 242.8 (644)",12837
48201,"""Harris, (TX)""",171,"148.7 - 175.5 (644)",17853
48209,"""Hays, (TX)""",148.3,"26.6 - 148.6 (644)",12584
48215,"""Hidalgo, (TX)""",206.9,"204.2 - 242.8 (644)",16990
48217,"""Hill, (TX)""",253.7,"242.9 - 651.5 (644)",15405
48225,"""Houston, (TX)""",276.8,"242.9 - 651.5 (644)",13943
48229,"""Hudspeth, (TX)""",160.7,"148.7 - 175.5 (644)",16295
48235,"""Irion, (TX)""",221.9,"204.2 - 242.8 (644)",13820
48239,"""Jackson, (TX)""",219.4,"204.2 - 242.8 (644)",16942
48241,"""Jasper, (TX)""",239.2,"204.2 - 242.8 (644)",14498
48243,"""Jeff Davis, (TX)""",139.1,"26.6 - 148.6 (644)",10089
48245,"""Jefferson, (TX)""",224.5,"204.2 - 242.8 (644)",14975
48247,"""Jim Hogg, (TX)""",194.5,"175.6 - 204.1 (644)",20257
48249,"""Jim Wells, (TX)""",362.2,"242.9 - 651.5 (644)",17183
48255,"""Karnes, (TX)""",216.8,"204.2 - 242.8 (644)",17233
48259,"""Kendall, (TX)""",173,"148.7 - 175.5 (644)",11136
48261,"""Kenedy, (TX)""",209.8,"204.2 - 242.8 (644)",-9999
48265,"""Kerr, (TX)""",148.5,"26.6 - 148.6 (644)",13060
48267,"""Kimble, (TX)""",224.8,"204.2 - 242.8 (644)",17393
48271,"""Kinney, (TX)""",157.8,"148.7 - 175.5 (644)",15107
48273,"""Kleberg, (TX)""",299.9,"242.9 - 651.5 (644)",17475
48281,"""Lampasas, (TX)""",159,"148.7 - 175.5 (644)",14429
48283,"""La Salle, (TX)""",216,"204.2 - 242.8 (644)",18019
48285,"""Lavaca, (TX)""",252.7,"242.9 - 651.5 (644)",17588
48287,"""Lee, (TX)""",158.6,"148.7 - 175.5 (644)",14558
48289,"""Leon, (TX)""",141.9,"26.6 - 148.6 (644)",15076
48291,"""Liberty, (TX)""",314.6,"242.9 - 651.5 (644)",20503
48293,"""Limestone, (TX)""",223.2,"204.2 - 242.8 (644)",15613
