"cnty_fips","display_name","Value","theme_range","pac_inc"
48161,"""Freestone, (TX)""",232.7,"204.2 - 242.8 (644)",4366
48163,"""Frio, (TX)""",250.3,"242.9 - 651.5 (644)",5250
48167,"""Galveston, (TX)""",162.4,"148.7 - 175.5 (644)",5580
48171,"""Gillespie, (TX)""",165.7,"148.7 - 175.5 (644)",2204
48173,"""Glasscock, (TX)""",260.8,"242.9 - 651.5 (644)",5221
48175,"""Goliad, (TX)""",193.1,"175.6 - 204.1 (644)",6891
48177,"""Gonzales, (TX)""",212.9,"204.2 - 242.8 (644)",4731
48185,"""Grimes, (TX)""",225.9,"204.2 - 242.8 (644)",5626
48187,"""Guadalupe, (TX)""",198.9,"175.6 - 204.1 (644)",4639
48193,"""Hamilton, (TX)""",163.6,"148.7 - 175.5 (644)",2183
48199,"""Hardin, (TX)""",217.4,"204.2 - 242.8 (644)",3927
48201,"""Harris, (TX)""",171,"148.7 - 175.5 (644)",5331
48209,"""Hays, (TX)""",148.3,"26.6 - 148.6 (644)",3320
48215,"""Hidalgo, (TX)""",206.9,"204.2 - 242.8 (644)",5277
48217,"""Hill, (TX)""",253.7,"242.9 - 651.5 (644)",3909
48225,"""Houston, (TX)""",276.8,"242.9 - 651.5 (644)",4786
48229,"""Hudspeth, (TX)""",160.7,"148.7 - 175.5 (644)",1269
48235,"""Irion, (TX)""",221.9,"204.2 - 242.8 (644)",6217
48239,"""Jackson, (TX)""",219.4,"204.2 - 242.8 (644)",6619
48241,"""Jasper, (TX)""",239.2,"204.2 - 242.8 (644)",4554
48243,"""Jeff Davis, (TX)""",139.1,"26.6 - 148.6 (644)",2297
48245,"""Jefferson, (TX)""",224.5,"204.2 - 242.8 (644)",5233
48247,"""Jim Hogg, (TX)""",194.5,"175.6 - 204.1 (644)",5848
48249,"""Jim Wells, (TX)""",362.2,"242.9 - 651.5 (644)",6784
48255,"""Karnes, (TX)""",216.8,"204.2 - 242.8 (644)",5874
48259,"""Kendall, (TX)""",173,"148.7 - 175.5 (644)",3082
48261,"""Kenedy, (TX)""",209.8,"204.2 - 242.8 (644)",-9999
48265,"""Kerr, (TX)""",148.5,"26.6 - 148.6 (644)",3390
48267,"""Kimble, (TX)""",224.8,"204.2 - 242.8 (644)",5554
48271,"""Kinney, (TX)""",157.8,"148.7 - 175.5 (644)",2903
48273,"""Kleberg, (TX)""",299.9,"242.9 - 651.5 (644)",6642
48281,"""Lampasas, (TX)""",159,"148.7 - 175.5 (644)",4351
48283,"""La Salle, (TX)""",216,"204.2 - 242.8 (644)",6763
48285,"""Lavaca, (TX)""",252.7,"242.9 - 651.5 (644)",6470
48287,"""Lee, (TX)""",158.6,"148.7 - 175.5 (644)",3950
48289,"""Leon, (TX)""",141.9,"26.6 - 148.6 (644)",3829
48291,"""Liberty, (TX)""",314.6,"242.9 - 651.5 (644)",6648
48293,"""Limestone, (TX)""",223.2,"204.2 - 242.8 (644)",4023
48297,"""Live Oak, (TX)""",163.5,"148.7 - 175.5 (644)",5835
