"cnty_fips","display_name","Value","theme_range","dm_prev_adj","ob_prev_adj","ltpia_prev_adj"
16071,"""Oneida, (ID)""",210.4,"204.2 - 242.8 (644)",6.2,28.9,21.7
16073,"""Owyhee, (ID)""",175.8,"175.6 - 204.1 (644)",11.8,40,25.3
16075,"""Payette, (ID)""",199.6,"175.6 - 204.1 (644)",9,34.6,29
16077,"""Power, (ID)""",135.1,"26.6 - 148.6 (644)",12.4,35.4,23.4
16081,"""Teton, (ID)""",117.2,"26.6 - 148.6 (644)",4.4,20.9,20.8
16083,"""Twin Falls, (ID)""",163.8,"148.7 - 175.5 (644)",7.6,33,23.6
16087,"""Washington, (ID)""",168.8,"148.7 - 175.5 (644)",8.6,35.2,27.4
32001,"""Churchill, (NV)""",260.4,"242.9 - 651.5 (644)",6.8,32.4,25.1
32003,"""Clark, (NV)""",211.3,"204.2 - 242.8 (644)",10,25.3,23.5
32005,"""Douglas, (NV)""",172.6,"148.7 - 175.5 (644)",6.1,24.5,18.6
32007,"""Elko, (NV)""",157.6,"148.7 - 175.5 (644)",10,28.7,25.3
32009,"""Esmeralda, (NV)""",186.5,"175.6 - 204.1 (644)",3.4,27.5,27.6
32011,"""Eureka, (NV)""",231.4,"204.2 - 242.8 (644)",6,21.3,20.8
32013,"""Humboldt, (NV)""",220.5,"204.2 - 242.8 (644)",8,33.1,20.4
32015,"""Lander, (NV)""",230.2,"204.2 - 242.8 (644)",14.8,34.9,19.2
32017,"""Lincoln, (NV)""",169.6,"148.7 - 175.5 (644)",5.8,29.9,26.1
32019,"""Lyon, (NV)""",239.4,"204.2 - 242.8 (644)",10.1,35.8,23.3
32021,"""Mineral, (NV)""",233.8,"204.2 - 242.8 (644)",10.1,29.8,28.8
32023,"""Nye, (NV)""",252.9,"242.9 - 651.5 (644)",9.4,33.8,26.3
32027,"""Pershing, (NV)""",246.4,"242.9 - 651.5 (644)",6.1,34.3,27.5
32029,"""Storey, (NV)""",241.4,"204.2 - 242.8 (644)",8.9,22.5,22.9
32031,"""Washoe, (NV)""",244.6,"242.9 - 651.5 (644)",6.7,23.1,17.9
32033,"""White Pine, (NV)""",182.3,"175.6 - 204.1 (644)",7.4,32.9,22.9
32510,"""Carson City, (NV)""",250.6,"242.9 - 651.5 (644)",9,28.4,21.2
35003,"""Catron, (NM)""",231,"204.2 - 242.8 (644)",6.3,25.2,17.6
35006,"""Cibola, (NM)""",192.9,"175.6 - 204.1 (644)",12.7,31.1,28.9
35013,"""Do̱a Ana, (NM)""",154.6,"148.7 - 175.5 (644)",8.2,28.6,16.8
35017,"""Grant, (NM)""",194.2,"175.6 - 204.1 (644)",5.9,27.1,17.6
35023,"""Hidalgo, (NM)""",224.6,"204.2 - 242.8 (644)",6.5,24.1,26.8
35029,"""Luna, (NM)""",255.2,"242.9 - 651.5 (644)",9.1,32.7,25.7
35031,"""McKinley, (NM)""",172.9,"148.7 - 175.5 (644)",16.7,38.6,25.5
35043,"""Sandoval, (NM)""",173.6,"148.7 - 175.5 (644)",6.1,24.7,12.6
35045,"""San Juan, (NM)""",160.3,"148.7 - 175.5 (644)",11.7,33.4,23.4
35051,"""Sierra, (NM)""",330.6,"242.9 - 651.5 (644)",9.4,26.6,23.5
35053,"""Socorro, (NM)""",240.4,"204.2 - 242.8 (644)",14.7,33.6,24.4
35061,"""Valencia, (NM)""",195.1,"175.6 - 204.1 (644)",10.8,31.5,20.6
41023,"""Grant, (OR)""",156,"148.7 - 175.5 (644)",5.6,25.7,24.6
41025,"""Harney, (OR)""",138.2,"26.6 - 148.6 (644)",9.3,30.8,20.5
41045,"""Malheur, (OR)""",201.3,"175.6 - 204.1 (644)",7.7,36.2,21
49001,"""Beaver, (UT)""",129.7,"26.6 - 148.6 (644)",7.9,24.4,19.5
49003,"""Box Elder, (UT)""",201.6,"175.6 - 204.1 (644)",8.4,31.8,22.2
49005,"""Cache, (UT)""",97.2,"26.6 - 148.6 (644)",6.8,26.4,15.3
49007,"""Carbon, (UT)""",249.4,"242.9 - 651.5 (644)",8.4,27.1,22.2
49009,"""Daggett, (UT)""",153.3,"148.7 - 175.5 (644)",8.8,27.3,19
49011,"""Davis, (UT)""",132.1,"26.6 - 148.6 (644)",8,26.3,18
49013,"""Duchesne, (UT)""",155.1,"148.7 - 175.5 (644)",8.4,29.6,21.8
49015,"""Emery, (UT)""",219.5,"204.2 - 242.8 (644)",8.2,30.8,18.5
49017,"""Garfield, (UT)""",138.1,"26.6 - 148.6 (644)",6.2,23.1,21.4
49019,"""Grand, (UT)""",138.4,"26.6 - 148.6 (644)",8.1,23.4,13.7
49021,"""Iron, (UT)""",120.5,"26.6 - 148.6 (644)",8.4,26,19.7
49023,"""Juab, (UT)""",120.5,"26.6 - 148.6 (644)",6.9,29,18.8
49025,"""Kane, (UT)""",162.1,"148.7 - 175.5 (644)",6.6,21.9,17.9
49027,"""Millard, (UT)""",123,"26.6 - 148.6 (644)",10,31.6,20
