"cnty_fips","display_name","Value","theme_range","pac_cost"
48001,"""Anderson, (TX)""",202.1,"175.6 - 204.1 (644)",6740
48005,"""Angelina, (TX)""",228.3,"204.2 - 242.8 (644)",5711
48007,"""Aransas, (TX)""",240.8,"204.2 - 242.8 (644)",5601
48013,"""Atascosa, (TX)""",202.5,"175.6 - 204.1 (644)",6370
48015,"""Austin, (TX)""",237.1,"204.2 - 242.8 (644)",4460
48019,"""Bandera, (TX)""",167.7,"148.7 - 175.5 (644)",3584
48021,"""Bastrop, (TX)""",167.8,"148.7 - 175.5 (644)",4993
48025,"""Bee, (TX)""",192.6,"175.6 - 204.1 (644)",9862
48027,"""Bell, (TX)""",192.1,"175.6 - 204.1 (644)",4593
48029,"""Bexar, (TX)""",174.5,"148.7 - 175.5 (644)",5309
48031,"""Blanco, (TX)""",131,"26.6 - 148.6 (644)",4031
48035,"""Bosque, (TX)""",267.7,"242.9 - 651.5 (644)",4033
48039,"""Brazoria, (TX)""",189.5,"175.6 - 204.1 (644)",5537
48041,"""Brazos, (TX)""",142.2,"26.6 - 148.6 (644)",5097
48043,"""Brewster, (TX)""",120.8,"26.6 - 148.6 (644)",5467
48047,"""Brooks, (TX)""",207.9,"204.2 - 242.8 (644)",9699
48049,"""Brown, (TX)""",187.1,"175.6 - 204.1 (644)",7109
48051,"""Burleson, (TX)""",293.5,"242.9 - 651.5 (644)",6227
48053,"""Burnet, (TX)""",127.7,"26.6 - 148.6 (644)",4439
48055,"""Caldwell, (TX)""",226.3,"204.2 - 242.8 (644)",6820
48057,"""Calhoun, (TX)""",218.1,"204.2 - 242.8 (644)",7290
48061,"""Cameron, (TX)""",211.5,"204.2 - 242.8 (644)",7084
48071,"""Chambers, (TX)""",221.3,"204.2 - 242.8 (644)",7067
48073,"""Cherokee, (TX)""",220.7,"204.2 - 242.8 (644)",6413
48081,"""Coke, (TX)""",139.1,"26.6 - 148.6 (644)",4075
48083,"""Coleman, (TX)""",270.4,"242.9 - 651.5 (644)",6879
48089,"""Colorado, (TX)""",249.4,"242.9 - 651.5 (644)",6282
48091,"""Comal, (TX)""",165.9,"148.7 - 175.5 (644)",4760
48093,"""Comanche, (TX)""",303,"242.9 - 651.5 (644)",5497
48095,"""Concho, (TX)""",166.2,"148.7 - 175.5 (644)",5646
48099,"""Coryell, (TX)""",238.6,"204.2 - 242.8 (644)",5118
48103,"""Crane, (TX)""",217.4,"204.2 - 242.8 (644)",11360
48105,"""Crockett, (TX)""",495.7,"242.9 - 651.5 (644)",9009
48109,"""Culberson, (TX)""",211.2,"204.2 - 242.8 (644)",15708
48123,"""DeWitt, (TX)""",205.3,"204.2 - 242.8 (644)",6476
48127,"""Dimmit, (TX)""",156.3,"148.7 - 175.5 (644)",5829
48131,"""Duval, (TX)""",260.7,"242.9 - 651.5 (644)",9623
48135,"""Ector, (TX)""",305.2,"242.9 - 651.5 (644)",6920
48137,"""Edwards, (TX)""",181.2,"175.6 - 204.1 (644)",4363
48141,"""El Paso, (TX)""",157,"148.7 - 175.5 (644)",6600
48145,"""Falls, (TX)""",226.6,"204.2 - 242.8 (644)",6494
48149,"""Fayette, (TX)""",250.4,"242.9 - 651.5 (644)",5228
48157,"""Fort Bend, (TX)""",124.2,"26.6 - 148.6 (644)",5614
48161,"""Freestone, (TX)""",232.7,"204.2 - 242.8 (644)",6032
48163,"""Frio, (TX)""",250.3,"242.9 - 651.5 (644)",6810
48167,"""Galveston, (TX)""",162.4,"148.7 - 175.5 (644)",6657
48171,"""Gillespie, (TX)""",165.7,"148.7 - 175.5 (644)",2983
48173,"""Glasscock, (TX)""",260.8,"242.9 - 651.5 (644)",2226
48175,"""Goliad, (TX)""",193.1,"175.6 - 204.1 (644)",8339
48177,"""Gonzales, (TX)""",212.9,"204.2 - 242.8 (644)",6455
48185,"""Grimes, (TX)""",225.9,"204.2 - 242.8 (644)",6587
48187,"""Guadalupe, (TX)""",198.9,"175.6 - 204.1 (644)",5961
48193,"""Hamilton, (TX)""",163.6,"148.7 - 175.5 (644)",3712
48199,"""Hardin, (TX)""",217.4,"204.2 - 242.8 (644)",5548
48201,"""Harris, (TX)""",171,"148.7 - 175.5 (644)",6423
48209,"""Hays, (TX)""",148.3,"26.6 - 148.6 (644)",4565
48215,"""Hidalgo, (TX)""",206.9,"204.2 - 242.8 (644)",6407
48217,"""Hill, (TX)""",253.7,"242.9 - 651.5 (644)",5151
48225,"""Houston, (TX)""",276.8,"242.9 - 651.5 (644)",6547
48229,"""Hudspeth, (TX)""",160.7,"148.7 - 175.5 (644)",1894
48235,"""Irion, (TX)""",221.9,"204.2 - 242.8 (644)",6853
48239,"""Jackson, (TX)""",219.4,"204.2 - 242.8 (644)",8882
48241,"""Jasper, (TX)""",239.2,"204.2 - 242.8 (644)",5745
48243,"""Jeff Davis, (TX)""",139.1,"26.6 - 148.6 (644)",3123
48245,"""Jefferson, (TX)""",224.5,"204.2 - 242.8 (644)",6679
48247,"""Jim Hogg, (TX)""",194.5,"175.6 - 204.1 (644)",8264
48249,"""Jim Wells, (TX)""",362.2,"242.9 - 651.5 (644)",8564
48255,"""Karnes, (TX)""",216.8,"204.2 - 242.8 (644)",7452
48259,"""Kendall, (TX)""",173,"148.7 - 175.5 (644)",3939
48261,"""Kenedy, (TX)""",209.8,"204.2 - 242.8 (644)",-9999
48265,"""Kerr, (TX)""",148.5,"26.6 - 148.6 (644)",4202
48267,"""Kimble, (TX)""",224.8,"204.2 - 242.8 (644)",6454
48271,"""Kinney, (TX)""",157.8,"148.7 - 175.5 (644)",3361
48273,"""Kleberg, (TX)""",299.9,"242.9 - 651.5 (644)",7770
48281,"""Lampasas, (TX)""",159,"148.7 - 175.5 (644)",5281
48283,"""La Salle, (TX)""",216,"204.2 - 242.8 (644)",8217
48285,"""Lavaca, (TX)""",252.7,"242.9 - 651.5 (644)",8028
48287,"""Lee, (TX)""",158.6,"148.7 - 175.5 (644)",5712
48289,"""Leon, (TX)""",141.9,"26.6 - 148.6 (644)",4905
48291,"""Liberty, (TX)""",314.6,"242.9 - 651.5 (644)",7786
48293,"""Limestone, (TX)""",223.2,"204.2 - 242.8 (644)",5920
