"cnty_fips","display_name","Value","theme_range","prev_hd"
49055,"""Wayne, (UT)""",147.2,"26.6 - 148.6 (644)",28.9
49057,"""Weber, (UT)""",149.2,"148.7 - 175.5 (644)",29.7
56003,"""Big Horn, (WY)""",209,"204.2 - 242.8 (644)",31.1
56007,"""Carbon, (WY)""",149.2,"148.7 - 175.5 (644)",25.2
56013,"""Fremont, (WY)""",183.2,"175.6 - 204.1 (644)",27
56017,"""Hot Springs, (WY)""",180.9,"175.6 - 204.1 (644)",28.2
56023,"""Lincoln, (WY)""",140,"26.6 - 148.6 (644)",25.3
56025,"""Natrona, (WY)""",178.7,"175.6 - 204.1 (644)",28
56029,"""Park, (WY)""",137.7,"26.6 - 148.6 (644)",28.9
56035,"""Sublette, (WY)""",133.7,"26.6 - 148.6 (644)",25.7
56037,"""Sweetwater, (WY)""",187.6,"175.6 - 204.1 (644)",28.5
56039,"""Teton, (WY)""",78.3,"26.6 - 148.6 (644)",24.7
56041,"""Uinta, (WY)""",153.3,"148.7 - 175.5 (644)",31.5
56043,"""Washakie, (WY)""",149.5,"148.7 - 175.5 (644)",27.2
22031,"""De Soto, (LA)""",177.5,"175.6 - 204.1 (644)",42.2
48001,"""Anderson, (TX)""",202.1,"175.6 - 204.1 (644)",39
48005,"""Angelina, (TX)""",228.3,"204.2 - 242.8 (644)",41.5
48007,"""Aransas, (TX)""",240.8,"204.2 - 242.8 (644)",34.3
48013,"""Atascosa, (TX)""",202.5,"175.6 - 204.1 (644)",39.5
48015,"""Austin, (TX)""",237.1,"204.2 - 242.8 (644)",38.2
48019,"""Bandera, (TX)""",167.7,"148.7 - 175.5 (644)",35
48021,"""Bastrop, (TX)""",167.8,"148.7 - 175.5 (644)",40.9
48025,"""Bee, (TX)""",192.6,"175.6 - 204.1 (644)",39
48027,"""Bell, (TX)""",192.1,"175.6 - 204.1 (644)",35.7
48029,"""Bexar, (TX)""",174.5,"148.7 - 175.5 (644)",34
48031,"""Blanco, (TX)""",131,"26.6 - 148.6 (644)",33.1
48035,"""Bosque, (TX)""",267.7,"242.9 - 651.5 (644)",33.7
48039,"""Brazoria, (TX)""",189.5,"175.6 - 204.1 (644)",40.4
48041,"""Brazos, (TX)""",142.2,"26.6 - 148.6 (644)",37
48043,"""Brewster, (TX)""",120.8,"26.6 - 148.6 (644)",27.1
48047,"""Brooks, (TX)""",207.9,"204.2 - 242.8 (644)",53.2
48049,"""Brown, (TX)""",187.1,"175.6 - 204.1 (644)",37.3
