"cnty_fips","display_name","Value","theme_range","ou_inc"
16029,"""Caribou, (ID)""",152.6,"148.7 - 175.5 (644)",6826
16031,"""Cassia, (ID)""",154.7,"148.7 - 175.5 (644)",4096
16033,"""Clark, (ID)""",161.7,"148.7 - 175.5 (644)",990
16037,"""Custer, (ID)""",117.7,"26.6 - 148.6 (644)",2991
16039,"""Elmore, (ID)""",153.6,"148.7 - 175.5 (644)",2932
16041,"""Franklin, (ID)""",110.4,"26.6 - 148.6 (644)",2592
16043,"""Fremont, (ID)""",167.7,"148.7 - 175.5 (644)",2611
16045,"""Gem, (ID)""",170,"148.7 - 175.5 (644)",2945
16047,"""Gooding, (ID)""",200.1,"175.6 - 204.1 (644)",3802
16051,"""Jefferson, (ID)""",192.5,"175.6 - 204.1 (644)",2024
16053,"""Jerome, (ID)""",171.3,"148.7 - 175.5 (644)",3270
16063,"""Lincoln, (ID)""",184.7,"175.6 - 204.1 (644)",2057
16065,"""Madison, (ID)""",206.7,"204.2 - 242.8 (644)",3233
16067,"""Minidoka, (ID)""",120.3,"26.6 - 148.6 (644)",3366
16071,"""Oneida, (ID)""",210.4,"204.2 - 242.8 (644)",2499
16073,"""Owyhee, (ID)""",175.8,"175.6 - 204.1 (644)",2939
16075,"""Payette, (ID)""",199.6,"175.6 - 204.1 (644)",2162
16077,"""Power, (ID)""",135.1,"26.6 - 148.6 (644)",3801
16081,"""Teton, (ID)""",117.2,"26.6 - 148.6 (644)",3499
16083,"""Twin Falls, (ID)""",163.8,"148.7 - 175.5 (644)",3162
16087,"""Washington, (ID)""",168.8,"148.7 - 175.5 (644)",3080
32001,"""Churchill, (NV)""",260.4,"242.9 - 651.5 (644)",2533
32003,"""Clark, (NV)""",211.3,"204.2 - 242.8 (644)",1239
32005,"""Douglas, (NV)""",172.6,"148.7 - 175.5 (644)",2704
32007,"""Elko, (NV)""",157.6,"148.7 - 175.5 (644)",1953
32009,"""Esmeralda, (NV)""",186.5,"175.6 - 204.1 (644)",2510
32011,"""Eureka, (NV)""",231.4,"204.2 - 242.8 (644)",1937
32013,"""Humboldt, (NV)""",220.5,"204.2 - 242.8 (644)",3771
32015,"""Lander, (NV)""",230.2,"204.2 - 242.8 (644)",3035
32017,"""Lincoln, (NV)""",169.6,"148.7 - 175.5 (644)",2726
32019,"""Lyon, (NV)""",239.4,"204.2 - 242.8 (644)",1922
32021,"""Mineral, (NV)""",233.8,"204.2 - 242.8 (644)",2646
32023,"""Nye, (NV)""",252.9,"242.9 - 651.5 (644)",878
32027,"""Pershing, (NV)""",246.4,"242.9 - 651.5 (644)",3856
32029,"""Storey, (NV)""",241.4,"204.2 - 242.8 (644)",2296
32031,"""Washoe, (NV)""",244.6,"242.9 - 651.5 (644)",1778
32033,"""White Pine, (NV)""",182.3,"175.6 - 204.1 (644)",4409
32510,"""Carson City, (NV)""",250.6,"242.9 - 651.5 (644)",1543
35003,"""Catron, (NM)""",231,"204.2 - 242.8 (644)",2159
35006,"""Cibola, (NM)""",192.9,"175.6 - 204.1 (644)",2038
35013,"""Do̱a Ana, (NM)""",154.6,"148.7 - 175.5 (644)",2014
35017,"""Grant, (NM)""",194.2,"175.6 - 204.1 (644)",2220
35023,"""Hidalgo, (NM)""",224.6,"204.2 - 242.8 (644)",2592
35029,"""Luna, (NM)""",255.2,"242.9 - 651.5 (644)",3215
35031,"""McKinley, (NM)""",172.9,"148.7 - 175.5 (644)",1554
